REF_AREA,Reference area,Measure,Pollutant,Unit of measure,ISO,ISO 1,TIME_PERIOD,OBS_VALUE
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2018,7.0567045
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2019,7.2709966
NZL,New Zealand,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,NZL,New Zealand,2020,6.349349
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,1990,7.1669803
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,1995,7.0091929
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2000,7.1519642
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2001,7.2852044
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2002,7.3637333
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2003,7.6682754
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2004,6.8074632
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2005,6.7981062
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2006,7.3749871
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2007,7.0418191
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2008,6.9244194
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2009,7.6456871
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2010,7.2958322
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2011,7.1808977
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2012,7.3926659
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2013,7.3035746
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2014,7.2579374
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2015,7.0605216
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2016,7.0896683
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2017,7.2945986
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2018,7.5905056
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2019,9.1737967
AUS,Australia,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,AUS,Australia,2020,8.1108809
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,1990,12.566798
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,1995,12.415297
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2000,12.759497
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2001,12.459898
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2002,12.350471
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2003,12.083694
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2004,12.020917
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2005,12.170371
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2006,12.26158
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2007,12.151574
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2008,12.331002
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2009,11.527114
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2010,10.840294
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2011,12.257681
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2012,12.757601
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2013,13.217904
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2014,13.72555
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2015,12.849486
JPN,Japan,Mean population-weighted exposure,Fine particulate matter (PM2.5),Microgrammes per cubic metre,JPN,Japan,2016,12.774453
