STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,POLLUTANT,Pollutant,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2012,,55.02655,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2013,,58.65299,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2014,,62.74001,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2015,,62.39882,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2016,,63.57658,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2017,,62.62841,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2018,,62.35734,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2019,,64.43073,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2020,,60.19119,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2021,,60.77687,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,BGR,Bulgaria,A,Annual,NH3,Ammonia,T_EM_MM,Total man-made emissions,T,Tonnes,2022,,61.19237,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1990,,250.3334,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1991,,202.2217,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1992,,157.8102,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1993,,138.1208,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1994,,123.6602,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1995,,104.9695,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1996,,110.4494,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1997,,101.6377,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1998,,93.74995,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,1999,,91.38976,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_EMISSIONS@DF_AIR_EMISSIONS(1.0),Air emissions - Air pollutants Inventories,I,FIN,Finland,A,Annual,SOX,Sulphur oxides,T_EM_MM,Total man-made emissions,T,Tonnes,2000,,81.03143,,A,Normal value,,,,,,,3,Thousands,,,,,2,Two,,
