Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F)
1936,POL,164,12.0,27.40934065934066,174.15602836879432,68.16666666666666,27.5,160.4,55.8
1936,POR,19,3.0,33.51449275362319,167.33333333333334,62.0,,,
1936,ROU,70,1.0,28.12406015037594,170.0,,22.33333333333333,,
1936,RSA,32,1.0,24.07317073170732,189.0,81.0,,,
1936,SUI,226,62.0,28.82741839762611,178.62962962962965,68.1875,24.2,,
1936,SWE,202,45.0,31.822486225895315,182.390243902439,77.5609756097561,40.964285714285715,169.0,65.0
1936,TCH,234,18.0,28.074316939890714,179.53333333333333,79.56451612903226,23.727272727272727,,
1936,TUR,54,2.0,28.977611940298505,,79.0,19.0,,
1936,URU,37,0.0,28.46153846153846,183.0,,,,
1936,USA,416,112.0,30.91965883545643,186.83050847457628,77.54237288135593,22.023809523809522,169.05263157894737,58.833333333333336
1936,YUG,110,1.0,23.90449438202247,182.6,79.93333333333334,22.933333333333334,171.8,62.8
1948,AFG,25,0.0,,,,,,
1948,ARG,208,11.0,30.957486338797814,170.19444444444446,70.03888888888889,23.7,170.2,65.2
1948,AUS,78,16.0,26.50649350649351,181.03571428571428,84.55357142857143,21.444444444444443,172.0,57.0
1948,AUT,202,16.0,29.2289156626506,178.33333333333334,74.22727272727273,23.389830508474574,169.25,68.66666666666667
1948,BEL,166,21.0,36.06,172.3,71.70833333333333,25.727272727272727,,
1948,BER,12,0.0,21.94117647058824,185.0,,18.6,,
1948,BRA,70,10.0,27.95777777777778,178.42857142857142,73.33333333333333,20.454545454545453,176.0,69.0
1948,BUL,4,0.0,24.33333333333333,,,,,
1948,CAN,155,22.0,24.8150406504065,182.05,71.375,21.785714285714285,167.0,
1948,CHI,58,0.0,26.0,179.75,73.21428571428571,19.5,171.0,59.16666666666666
1948,CHN,31,0.0,29.0,,,35.0,,
1948,COL,6,0.0,24.5,170.0,63.0,,,
1948,CUB,53,2.0,27.28636363636364,171.75,79.375,,,
1948,DEN,164,51.0,33.13017329255862,174.26923076923077,73.79545454545455,24.24137931034483,165.66666666666666,55.66666666666666
1948,EGY,85,5.0,26.267605633802816,,71.25,,,
1948,ESP,71,3.0,28.42528735632184,173.84615384615384,75.0,,,
1948,FIN,153,42.0,31.902548209366394,175.6904761904762,73.12704918032787,30.285714285714285,165.8,56.3
1948,FRA,354,77.0,36.13300492610837,170.97169811320757,69.84343434343434,22.614035087719294,170.0625,61.25
1948,GBR,543,64.0,31.251745901745903,178.8175,76.29310344827586,32.493181818181824,167.52173913043478,59.82608695652174
1948,GER,3,3.0,34.0,,,,,
1948,GRE,62,0.0,34.220588235294116,177.76923076923077,75.16666666666666,34.0,,
1948,GUY,4,0.0,27.0,,64.5,,,
1948,HUN,151,64.0,23.179723502304146,174.04054054054055,68.98125,21.64516129032258,162.0,54.875
1948,IND,79,20.0,24.81081081081081,170.0,73.375,,,
1948,IRI,36,1.0,22.3,,67.4,,,
