Year,NOC,Total Athletes,Medal Count,Average Age (M),Average Height (M),Average Weight (M),Average Age (F),Average Height (F),Average Weight (F),Country Name,Armed forces personnel (% of total labor force),"Compulsory education, duration (years)",Control of Corruption: Percentile Rank,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),Government Effectiveness: Percentile Rank,"Government expenditure on education, total (% of GDP)","International tourism, expenditures (current US$)",Military expenditure (% of GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Political Stability and Absence of Violence/Terrorism: Percentile Rank,Population growth (annual %),"Population, total",Rule of Law: Percentile Rank,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1924,BUL,24,0.0,23.142857142857142,172.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CAN,77,29.0,26.28735632183908,174.7,78.55555555555556,15.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,CHI,13,0.0,24.125,171.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,
1924,CUB,9,0.0,41.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,DEN,93,14.0,32.72537878787879,172.5,,22.84210526315789,168.0,,,,,,,,,,,,,,,,,,,,,,,
1924,ECU,3,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,EGY,24,0.0,25.285714285714285,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ESP,101,0.0,27.01680672268908,176.38888888888889,68.25,23.5,,,,,,,,,,,,,,,,,,,,,,,,
1924,EST,37,6.0,23.85106382978724,173.62962962962962,71.39393939393939,,,,,,,,,,,,,,,,,,,,,,,,,
1924,FIN,140,67.0,30.163107947805457,175.25225225225225,70.78703703703704,39.0,165.0,58.0,,,,,,,,,,,,,,,,,,,,,,
1924,FRA,456,120.0,31.427579365079367,174.3843537414966,71.09053497942386,29.48611111111111,163.75,45.0,,,,,,,,,,,,,,,,,,,,,,
1924,GBR,372,97.0,33.227104415094935,179.02482269503545,71.0952380952381,27.811538461538465,168.0,,,,,,,,,,,,,,,,,,,,,,,
1924,GRE,39,1.0,32.85,180.75,83.33333333333333,27.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,HAI,8,5.0,20.5,171.0,63.5,,,,,,,,,,,,,,,,,,,,,,,,,
1924,HUN,97,22.0,31.33908045977012,175.85714285714286,71.3,32.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,
1924,IND,23,7.0,29.52777777777777,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,IRL,52,2.0,34.494623655913976,180.66666666666663,,29.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,ITA,223,51.0,26.13974358974359,170.10344827586206,73.21739130434783,31.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,
1924,JPN,23,1.0,25.28125,167.75,64.75,,,,,,,,,,,,,,,,,,,,,,,,,
1924,LAT,37,0.0,25.6046511627907,,83.5,,,,,,,,,,,,,,,,,,,,,,,,,
1924,LTU,13,0.0,22.77777777777778,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,LUX,48,2.0,24.123809523809523,176.5,90.8,21.5,,,,,,,,,,,,,,,,,,,,,,,,
1924,MEX,15,0.0,23.33333333333333,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,MON,7,1.0,27.55555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,NED,177,27.0,28.131578947368418,179.38888888888889,69.72727272727273,20.666666666666668,171.25,,,,,,,,,,,,,,,,,,,,,,,
1924,NEP,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,NOR,78,39.0,29.076115485564305,180.4375,74.58333333333333,34.625,155.66666666666666,45.0,,,,,,,,,,,,,,,,,,,,,,
1924,NZL,4,1.0,20.25,170.0,63.0,19.0,165.0,,,,,,,,,,,,,,,,,,,,,,,
1924,PHI,1,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,POL,72,5.0,26.9,173.68852459016392,70.11475409836065,28.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,POR,28,4.0,32.21951219512195,172.85714285714286,59.0,,,,,,,,,,,,,,,,,,,,,,,,,
1924,ROU,35,16.0,27.923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,RSA,30,3.0,27.75,175.6,61.2,,,,,,,,,,,,,,,,,,,,,,,,,
1924,RUS,3,0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,SUI,175,69.0,28.215721040189123,171.0,70.25,23.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,
1924,SWE,194,81.0,29.69235588972431,175.3,70.4054054054054,29.319444444444443,,,,,,,,,,,,,,,,,,,,,,,,
1924,TCH,163,10.0,28.032085561497325,174.28571428571428,72.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
1924,TUR,22,0.0,25.571428571428573,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,
1924,URU,26,14.0,23.166666666666668,176.1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
1924,USA,330,194.0,27.423931623931622,180.4314679643147,71.33620689655173,26.161290322580644,161.3125,64.75,,,,,,,,,,,,,,,,,,,,,,
1924,YUG,46,2.0,25.415584415584416,190.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,
1928,ARG,91,26.0,25.370192307692307,175.65217391304347,68.38888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
1928,AUS,18,4.0,22.058823529411764,181.8333333333333,74.5,18.0,160.0,,,,,,,,,,,,,,,,,,,,,,,
1928,AUT,113,11.0,30.054054054054053,174.5,83.14285714285714,22.61904761904762,162.25,,,,,,,,,,,,,,,,,,,,,,,
1928,BEL,212,6.0,27.09692028985507,176.1818181818182,78.5909090909091,21.11111111111111,,,,,,,,,,,,,,,,,,,,,,,,
1928,BUL,5,0.0,30.3,172.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CAN,92,45.0,24.451612903225808,174.23076923076923,62.32,20.928571428571427,169.0,58.083333333333336,,,,,,,,,,,,,,,,,,,,,,
1928,CHI,38,1.0,25.31578947368421,174.88888888888889,71.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
1928,CUB,1,0.0,24.0,181.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
1928,DEN,91,15.0,32.6438679245283,169.6,60.0,20.58333333333333,170.0,,,,,,,,,,,,,,,,,,,,,,,
